source,target,value
Lucius,Yaxley,8
Severus,Yaxley,5
Ministry,Yaxley,7
Draco,Narcissa,37
Bellatrix,Narcissa,23
Bellatrix,Lucius,17
Lucius,Narcissa,12
Bellatrix,Draco,29
Draco,Severus,2
Draco,Nagini,8
Harry,Nagini,94
Dudley,Harry,221
Harry,Sirius,184
Harry,Quidditch,41
Harry,Hedwig,114
Albus,Percival,16
Hogwarts,Magic,4
Albus,Hogwarts,9
Aberforth,Albus,119
Albus,Kendra,29
Albus,Ariana,65
Aberforth,Ariana,20
Harry,Ministry,114
Harry,Magic,23
Aberforth,Betty,1
Harry,Rita,13
Harry,Page,20
Dudley,Page,6
Harry,Uncle,4
Dudley,Uncle,6
Dudley,Petunia,15
Harry,House,43
Harry,Vernon,23
Harry,Kingsley,164
Kingsley,Weasley,36
Harry,Weasley,583
Uncle,Weasley,6
Uncle,Vernon,6
Kingsley,Vernon,4
Dark,Harry,59
Dark,Petunia,3
Harry,Hestia,57
Dedalus,Hestia,20
Dedalus,Harry,37
Grawp,Harry,48
Dudley,Grawp,4
Dudley,Hestia,19
D.,Dudley,4
D.,Harry,5
Dedalus,Dudley,6
Dudley,Hedwig,7
Harry,Hermione,3034
Fred,Hermione,43
Fred,George,232
Bill,George,37
Bill,Weasley,57
Fleur,Weasley,89
Fleur,Kingsley,16
Harry,Mundungus,69
Kingsley,Mundungus,9
Ministry,Second,4
Fred,Harry,173
George,Harry,162
Goyle,Hermione,45
Fleur,George,25
Fleur,Fred,19
Death,Fleur,4
Fleur,Harry,167
Arthur,Mundungus,6
Arthur,Fred,11
Fred,Remus,6
Fleur,Remus,5
Bill,Fleur,266
Hedwig,Hermione,14
Hermione,Kingsley,19
Bill,Harry,300
Harry,Three,29
Harry,Selwyn,8
Harry,Ted,52
Harry,Muggle,58
Bellatrix,Harry,155
Harry,Nymphadora,15
Harry,Molly,21
George,Weasley,94
Harry,Hufflepuff,45
Harry,Two,76
George,Kingsley,13
Hermione,Ministry,43
Ministry,Travers,13
Remus,Travers,5
Hermione,Remus,9
Fred,Weasley,66
Fleur,Mundungus,12
Arthur,Weasley,38
Bill,Hermione,54
Bellatrix,Rodolphus,5
Kingsley,Rodolphus,1
Bill,Kingsley,27
Molly,Weasley,19
Bill,Mundungus,4
Harry,James,113
Hedwig,Weasley,4
Hermione,Weasley,58
Fleur,Hermione,48
Harry,Hogwarts,178
Arthur,Harry,53
Hogwarts,Weasley,16
Arthur,Hermione,6
Hermione,Molly,4
Crookshanks,Hermione,6
Crookshanks,Harry,6
Hermione,Mundungus,24
George,Hermione,30
Godric,Harry,32
Hermione,Merlin,8
Dark,Hermione,22
Apolline,Weasley,9
Gabrielle,Weasley,15
Fleur,Gabrielle,33
Fleur,Percy,18
Bill,Percy,6
Bill,Charlie,12
Charlie,Harry,13
Remus,Weasley,3
Harry,Remus,19
Harry,Lavender,1
Fred,Lavender,5
Gabrielle,Harry,11
Charlie,Weasley,8
Dudley,Hermione,5
Charlie,Norwegian,5
Norberta,Norwegian,5
Charlie,Norberta,4
Charlie,Hermione,12
Magic,Weasley,4
Fleur,Magic,5
Rufus,Weasley,6
Harry,Rufus,3
Hermione,Ronald,9
Harry,Ronald,17
Dark,Ministry,5
Hermione,Quidditch,16
Beedle,Hermione,4
Fred,Muggle,11
George,Luna,4
Harry,Luna,406
Harry,Xenophilius,260
Ginevra,Ronald,6
Ginevra,Harry,7
Goblin,Harry,14
Goblin,Ronald,4
Harry,Muriel,71
Fred,Muriel,5
Fleur,Muriel,5
George,Muriel,12
Fred,Grim,2
Grim,Hermione,6
Fleur,Ginevra,4
Bill,Luna,11
Fleur,Luna,26
Luna,Xenophilius,30
Dark,Xenophilius,6
George,Muggle,9
Charlie,Fleur,6
Aberforth,Harry,186
Aberforth,Elphias,4
Elphias,Harry,9
Muriel,Weasley,3
Barry,Harry,16
Albus,Elphias,3
Barry,Muriel,3
Albus,Harry,125
Ariana,Elphias,10
Elphias,Muriel,6
Albus,Muriel,8
Ariana,Harry,74
Harry,Kendra,18
Ariana,Kendra,53
Ariana,Muriel,17
Healer,Muriel,5
Elphias,Healer,4
Elphias,Lancelot,6
Ariana,Lancelot,11
Harry,Lancelot,4
Kendra,Muriel,8
Bathilda,Muriel,19
Aberforth,Bathilda,15
Ariana,Bathilda,32
Albus,Bathilda,22
Aberforth,Muriel,5
Bathilda,Harry,201
Harry,Percival,8
Barry,Percival,5
Hermione,Viktor,3
Harry,Viktor,10
Hermione,Muggle,26
Hermione,Thorfinn,8
Harry,Keeper,7
Black,Harry,39
Hermione,Sirius,13
Black,Sirius,3
Black,Hermione,18
Draco,Harry,167
Dudley,Muriel,4
Mundungus,Sirius,6
Sirius,Slytherin,5
Harry,Slytherin,53
Harry,Petunia,24
James,Petunia,5
James,Quidditch,6
Bathilda,Quidditch,4
Bathilda,James,1
Harry,Lily,44
James,Lily,33
Bathilda,Hermione,47
Hermione,Muriel,16
Muriel,Rita,2
Harry,Regulus,48
Hermione,Regulus,6
Regulus,Sirius,6
Regulus,Slytherin,5
Black,Slytherin,5
Harry,Kreacher,407
Kreacher,Weasley,6
Kreacher,Sirius,38
Bella,Kreacher,16
Kreacher,Regulus,64
Black,Regulus,7
Black,Kreacher,14
Dark,Kreacher,30
Hermione,Kreacher,59
Bella,Sirius,5
Kreacher,Mundungus,16
Ministry,Sirius,5
Sirius,Weasley,9
Harry,Severus,62
Hermione,Magic,6
Ministry,Muggle,1
Harry,Wizard,5
Hermione,James,9
Albus,Hermione,9
Ariana,Percival,11
Aberforth,Kendra,7
Amycus,Potions,5
Amycus,Merlin,3
Harry,Merlin,5
Harry,Neville,252
Luna,Neville,44
Hermione,Luna,18
Ministry,Weasley,17
Cedric,Harry,7
Harry,Ollivander,104
Dawn,Sirius,3
Dawn,Harry,5
Hermione,Mafalda,32
Harry,Mafalda,42
Harry,Runcorn,72
Harry,Yaxley,153
Hermione,Yaxley,38
Albert,Harry,28
Mafalda,Ministry,4
Albert,Mafalda,5
Magic,Runcorn,6
Wakanda,Weasley,11
Bernie,Harry,5
Bernie,Weasley,6
Bletchley,Weasley,4
Arthur,Bletchley,3
Harry,Percy,41
Percy,Weasley,19
Runcorn,Weasley,22
Percy,Runcorn,3
Mafalda,Runcorn,11
Hermione,Runcorn,6
Mafalda,Yaxley,1
Runcorn,Yaxley,6
Albert,Runcorn,3
Kreacher,Yaxley,10
Harry,Perkins,5
Hermione,Perkins,2
Borgin,Harry,19
Borgin,Dark,6
Hogwarts,Ministry,6
Gringotts,Ministry,6
Gringotts,Harry,120
Gornuk,Griphook,11
Gornuk,Harry,12
Gornuk,Ted,3
Dean,Harry,101
Dean,Gryffindor,10
Dean,Ted,15
Dirk,Ted,64
Griphook,Ted,45
Gringotts,Griphook,17
Gornuk,Gringotts,3
Dean,Gornuk,16
Dean,Dirk,23
Dean,Griphook,22
Dirk,Gornuk,12
Griphook,Harry,343
Hermione,Ted,10
Dirk,Harry,12
Dirk,Gringotts,5
Gringotts,Ted,9
Griphook,Gryffindor,10
Gringotts,Gryffindor,3
Luna,Weasley,9
Black,Neville,2
Black,Goblin,3
Harry,Phineas,6
Hermione,Phineas,4
Harry,Hogsmeade,52
Hogsmeade,Slytherin,2
Durmstrang,Harry,6
Godric,Gryffindor,6
Gryffindor,Harry,41
Godric,Gringotts,3
Godric,Hermione,6
Bathilda,Lily,6
Hannah,Harry,7
Bathilda,Muggle,4
Hermione,Nagini,12
Hermione,Ollivander,2
British,Hermione,5
British,Leaky,4
Kendra,Leaky,4
Bathilda,Kendra,18
Bathilda,Durmstrang,3
Bathilda,Gellert,9
Albus,Gellert,17
Gellert,Wizard,6
